	model_id	test_loss	test_accuracy	test_auc
0	CNN_da_0_ts_224_224_t_0_s_1_bs_16_cl_7_lp_max_gp_max_sd_05_fcd_05_XR_ELBOW_binary	0.7226558923721313	0.5502033233642578	0.5645920038223267
0	CNN_da_0_ts_224_224_t_0_s_1_bs_8_cl_7_kg_funnel_in_fg_constant_lp_max_gp_max_sd_05_fcd_05_all_classes_binary	0.6981654167175293	0.5283077955245972	0.5486935377120972
0	CNN_da_0_ts_224_224_t_0_s_1_bs_8_cl_5_kg_funnel_out_fg_constant_lp_avg_gp_avg_sd_05_fcd_05_all_classes_binary	0.7002493739128113	0.5251798629760742	0.5628727078437805
0	DenseNet121_da_0_ts_224_224_t_0_s_1_bs_4_XR_WRIST_binary	0.6805658340454102	0.6696903109550476	0.718097448348999
0	DenseNet169_da_0_ts_224_224_t_0_s_1_bs_4_XR_HUMERUS_binary	0.7309581637382507	0.6424773335456848	0.6720530390739441
0	DenseNet121_da_0_ts_224_224_t_0_s_1_bs_32_XR_FOREARM_binary	1.02081298828125	0.6099468469619751	0.6523503661155701
0	DenseNet169_da_0_ts_224_224_t_0_s_1_bs_4_XR_FINGER_binary	0.6732454299926758	0.6305911540985107	0.6740415692329407
0	DenseNet201_da_0_ts_224_224_t_0_s_1_bs_4_XR_WRIST_binary	0.6638925075531006	0.6859555840492249	0.7308424115180969
0	DenseNet121_da_0_ts_224_224_t_0_s_1_bs_4_XR_FINGER_binary	0.7134175300598145	0.616202712059021	0.6468759179115295
0	CNN_da_0_ts_224_224_t_0_s_1_bs_16_cl_7_lp_max_gp_max_sd_05_fcd_05_XR_SHOULDER_binary	0.7273661494255066	0.47575852274894714	0.46922141313552856
0	CNN_da_0_ts_224_224_t_0_s_1_bs_16_cl_5_lp_avg_gp_avg_sd_05_fcd_05_XR_ELBOW_binary	0.715924084186554	0.522677481174469	0.5447904467582703
0	CNN_da_0_ts_224_224_t_0_s_1_bs_8_cl_7_kg_funnel_out_fg_constant_lp_max_gp_max_sd_05_fcd_05_all_classes_binary	0.7163711190223694	0.4935877323150635	0.5239531397819519
0	DenseNet169_da_0_ts_224_224_t_0_s_1_bs_4_XR_ELBOW_binary	0.6398806571960449	0.6646856665611267	0.7031353712081909
0	DenseNet169_da_0_ts_224_224_t_0_s_1_bs_4_XR_HAND_binary	0.9815821051597595	0.6133875250816345	0.6287657022476196
0	DenseNet169_da_0_ts_224_224_t_0_s_1_bs_16_XR_ELBOW_binary	0.9400014281272888	0.584297776222229	0.6051564812660217
0	DenseNet201_da_0_ts_224_224_t_0_s_1_bs_4_XR_FOREARM_binary	0.6704356670379639	0.6421645283699036	0.6800066828727722
0	DenseNet121_da_0_ts_224_224_t_0_s_1_bs_32_XR_HAND_binary	0.7074266076087952	0.5242414474487305	0.5245482921600342
0	DenseNet169_da_0_ts_224_224_t_0_s_1_bs_4_XR_SHOULDER_binary	0.7595557570457458	0.6221457719802856	0.6446967720985413
0	DenseNet169_da_0_ts_224_224_t_0_s_1_bs_16_XR_WRIST_binary	0.7034932971000671	0.6393494009971619	0.6708448529243469
0	DenseNet201_da_0_ts_224_224_t_0_s_1_bs_4_all_classes_binary	0.5474351048469543	0.7247419357299805	0.7734318971633911
0	CNN_da_0_ts_224_224_t_0_s_1_bs_16_cl_5_lp_avg_gp_avg_sd_05_fcd_05_XR_SHOULDER_binary	0.7082968354225159	0.5220519304275513	0.5154327154159546
0	DenseNet121_da_0_ts_224_224_t_0_s_1_bs_4_XR_ELBOW_binary	0.687406599521637	0.6621832847595215	0.687113881111145
0	CNN_da_0_ts_224_224_t_0_s_1_bs_16_cl_7_lp_max_gp_max_sd_05_fcd_05_XR_FOREARM_binary	1.4716154336929321	0.47857365012168884	0.46062108874320984
0	DenseNet169_da_0_ts_224_224_t_0_s_1_bs_16_XR_HAND_binary	0.8725775480270386	0.5761651396751404	0.6065497994422913
0	DenseNet169_da_0_ts_224_224_t_0_s_1_bs_32_XR_ELBOW_binary	0.8388242125511169	0.6090084314346313	0.6545991897583008
