round_epochs,val_loss,val_acc,val_precision,val_recall,val_f1,val_accuracy,loss,acc,precision,recall,f1,accuracy,learning_rate,embeddings_dropout,gru_size,gru_recurrent_dropout,gru_dropout,mlp_num_neurons,mlp_activation,attention,optimizer,output_num_neurons,output_layer_activation,epochs
15,0.4203563833236694,0.8029599976539612,0.7769142842292786,0.728797013759613,0.7546692299842834,0.8029599976539612,0.4083272264401118,0.8133200017611185,0.7165099155902862,0.6912184679508209,0.6983237510919571,0.8133200017611185,0.001,0.2,100,0.2,0.2,64,relu,linear,<class 'keras.optimizers.Adam'>,1,sigmoid,50
14,0.4219015622138977,0.802799997329712,0.7426224470138549,0.7369339156150818,0.7658702039718628,0.802799997329712,0.38155972719192505,0.8264533356825511,0.7327502679824829,0.6969216439127922,0.7089065263668696,0.8264533356825511,0.001,0.2,300,0.2,0.2,500,relu,deep,<class 'keras.optimizers.Adam'>,1,sigmoid,50
12,0.4210275411605835,0.8035200023651123,0.7786486887931824,0.7315768337249756,0.75406911611557,0.8035200023651123,0.40413229087988534,0.8146800033251445,0.724491625626882,0.6965505633751551,0.7041373350222906,0.8146800033251445,0.001,0.2,200,0.2,0.2,32,relu,linear,<class 'keras.optimizers.Adam'>,1,sigmoid,50
14,0.41987120628356933,0.8040000033378601,0.7707343220710754,0.7367293739318848,0.7700369358062744,0.8040000033378601,0.39535002092520394,0.8193333343664805,0.7346871936321259,0.7099117088317871,0.7167418585220973,0.8193333343664805,0.001,0.2,200,0.2,0.2,500,relu,deep,<class 'keras.optimizers.Adam'>,1,sigmoid,50
13,0.4226888346672058,0.805600004196167,0.7581411910057068,0.7508694314956665,0.7574133610725403,0.805600004196167,0.3840336980422338,0.8245333333810171,0.7316482563813528,0.7008188304305076,0.7108905643224717,0.8245333333810171,0.001,0.2,500,0.2,0.2,64,relu,deep,<class 'keras.optimizers.Adam'>,1,sigmoid,50
18,0.4199594235420227,0.8050399994850159,0.7782591986656189,0.7430413293838501,0.7599656152725219,0.8050399994850159,0.3979420548677444,0.8185733354091644,0.7168473488092423,0.6906444921096166,0.6960878415902456,0.8185733354091644,0.001,0.2,100,0.2,0.2,64,relu,deep,<class 'keras.optimizers.Adam'>,1,sigmoid,50
12,0.4223923921585083,0.8057600045204163,0.7575570869445801,0.7147487449645996,0.7442637133598328,0.8057600045204163,0.3871540411313375,0.821266667842865,0.7306272586186727,0.6941151950756709,0.706592651406924,0.821266667842865,0.001,0.2,500,0.2,0.2,32,relu,deep,<class 'keras.optimizers.Adam'>,1,sigmoid,50
12,0.42442667961120606,0.8014399981498719,0.7648188614845276,0.7476760816574096,0.7557373166084289,0.8014399981498719,0.39522646586100263,0.8185066672166189,0.734919492204984,0.699774331053098,0.71202399233977,0.8185066672166189,0.001,0.2,500,0.2,0.2,100,relu,deep,<class 'keras.optimizers.Adam'>,1,sigmoid,50
11,0.420852016210556,0.803919997215271,0.7664513802528381,0.7579135179519654,0.7678397631645203,0.803919997215271,0.3971348301569621,0.8173866709073384,0.7343265835444133,0.7083953515688578,0.7161987042427063,0.8173866709073384,0.001,0.2,300,0.2,0.2,500,relu,linear,<class 'keras.optimizers.Adam'>,1,sigmoid,50
16,0.4222653329372406,0.802880003452301,0.776910412311554,0.7261167383193969,0.750361123085022,0.802880003452301,0.4054715198278427,0.813346670071284,0.7164090283711751,0.681715402007103,0.6915299119551976,0.813346670071284,0.001,0.2,100,0.2,0.2,32,relu,linear,<class 'keras.optimizers.Adam'>,1,sigmoid,50
10,0.4245263206958771,0.8013600087165833,0.7189738774299621,0.7467836380004883,0.7689577150344848,0.8013600087165833,0.39448409477869667,0.8193466687202453,0.7335868859291077,0.7095589141050974,0.7168770525852839,0.8193466687202453,0.001,0.2,500,0.2,0.2,50,relu,linear,<class 'keras.optimizers.Adam'>,1,sigmoid,50
16,0.42096779465675355,0.8054399991035461,0.7590151190757751,0.7395008063316345,0.7685759878158569,0.8054399991035461,0.3847867631912231,0.8239333311716716,0.7267804725964864,0.7076957184076309,0.7130491435527802,0.8239333311716716,0.001,0.2,200,0.2,0.2,64,relu,deep,<class 'keras.optimizers.Adam'>,1,sigmoid,50
